id;value
1;Afghanistan
2;Albania
3;Algeria
4;American Samoa
5;Andorra
6;Angola
7;Anguilla
8;Antigua &amp; Barbuda
9;Argentina
10;Armenia
11;Aruba
12;Ascension Island
13;Australia
14;Austria
15;Azerbaijan
16;Bahamas
17;Bahrain
18;Bangladesh
19;Barbados
20;Belarus
21;Belgium
22;Belize
23;Benin
24;Bermuda
252;Bes Islands
25;Bhutan
26;Bolivia
27;Bosnia and Herzegovina
28;Botswana
29;Bouvet Island
30;Brazil
31;British Indian Ocean Territory
241;British Virgin Islands
32;Brunei Darussalam
33;Bulgaria
34;Burkina Faso
35;Burundi
36;Cambodia
37;Cameroon
38;Canada
39;Cape Verde
40;Cayman Islands
41;Central African Republic
42;Chad
43;Chile
44;China Mainland
45;Christmas Island
46;Cocos (Keeling) Islands
47;Colombia
48;Comoros
50;Congo
51;Cook Islands
52;Costa Rica
53;Cote D'Ivoire
54;Croatia
55;Cuba
253;Curacao
56;Cyprus
57;Czech Republic
49;Democratic Republic Congo
58;Denmark
59;Djibouti
60;Dominica
62;East Timor
63;Ecuador
64;Egypt
65;El Salvador
66;Equatorial Guinea
67;Eritrea
68;Estonia
69;Ethiopia
70;Falkland Islands
71;Faroe Islands
72;Fiji
73;Finland
74;France
75;French Guiana
76;French Metropolitan
77;French Polynesia
78;French Southern Territories
79;Gabon
80;Gambia
81;Georgia
82;Germany
83;Ghana
84;Gibraltar
86;Greece
251;Greenland
88;Grenada
89;Guadeloupe
90;Guam
91;Guatemala
92;Guernsey
93;Guinea
94;Guinea-Bissau
95;Guyana
96;Haiti
97;Heard and Mc Donald Islands
98;Holy See
99;Honduras
100;Hong Kong
101;Hungary
102;Iceland
103;India
104;Indonesia
106;Iraq
105;Islamic Republic of Iran
108;Isle of Man
109;Israel
110;Italy
111;Jamaica
112;Japan
113;Jersey
114;Jordan
115;Kazakhstan
116;Kenya
117;Kiribati
249;Kosovo
120;Kuwait
121;Kyrgyzstan
122;Lao People's Dem. Rep.
123;Latvia
124;Lebanon
125;Lesotho
126;Liberia
127;Libyan Arab Jamahiriya
128;Liechtenstein
129;Lithuania
130;Luxembourg
131;Macau
132;Macedonia
133;Madagascar
134;Malawi
135;Malaysia
136;Maldives
137;Mali
138;Malta
139;Marshall Islands
140;Martinique
141;Mauritania
142;Mauritius
143;Mayotte
144;Mexico
145;Micronesia
146;Moldova, Republic of
147;Monaco
148;Mongolia
149;Montenegro
150;Montserrat
151;Morocco
152;Mozambique
153;Myanmar
154;Namibia
155;Nauru
156;Nepal
157;Netherlands
158;Netherlands Antilles
159;New Caledonia
160;New Zealand
161;Nicaragua
162;Niger
163;Nigeria
164;Niue
165;Norfolk Island
118;North Korea
166;Northern Mariana Islands
167;Norway
168;Oman
169;Pakistan
170;Palau
171;Palestine
172;Panama
173;Papua New Guinea
174;Paraguay
175;Peru
176;Philippines
177;Pitcairn Island
178;Poland
179;Portugal
180;Puerto Rico
181;Qatar
107;Republic of Ireland
194;Republic of Serbia
61;Republica Dominicana
182;Reunion Island
183;Romania
184;Russian Federation
185;Rwanda
206;Saint Helena
189;Samoa
190;San Marino
191;Sao Tome and Principe
192;Saudi Arabia
193;Senegal
195;Seychelles
196;Sierra Leone
197;Singapore
254;Sint Maarten
198;Slovakia
199;Slovenia
200;Solomon Islands
201;Somalia
202;South Africa
203;South Georgia and South Sandwich Islands
119;South Korea
250;South Sudan
204;Spain
205;Sri Lanka
255;St. Barthelemy
186;St. Kitts-Nevis
187;St. Lucia
188;St. Vincent &amp; Grenadines
208;Sudan
209;Suriname
210;Svalbard and Jan Mayen Islands
211;Swaziland
212;Sweden
213;Switzerland
214;Syrian Arab Republic
215;Taiwan
216;Tajikistan
218;Thailand
220;Timor-Leste
221;Togo
222;Tokelau
223;Tonga
224;Trinidad and Tobago
225;Tunisia
226;Turkey
227;Turkmenistan
228;Turks and Caicos Islands
229;Tuvalu
235;U.S. Minor Outlying Islands
242;U.S. Virgin Islands
230;Uganda
231;Ukraine
232;United Arab Emirates
233;United Kingdom
217;United Rep. of Tanzania
234;United States of America
236;Uruguay
237;Uzbekistan
238;Vanuatu
248;Vatican City State
239;Venezuela
240;Vietnam
243;Wallis and Futuna Islands
244;Western Sahara
245;Yemen Arab Republic
246;Zambia
